Kata,Frekquensi
lecturer,11619
salary,9884
not,3639
institution,2604
status,1577
education,1334
million,1252
welfare,1110
government,890
degree,868
work,840
no,809
research,781
indonesia,757
budget,742
increase,715
need,685
student,674
basic,658
already,649
use,646
teach,603
time,592
money,590
minimum,558
month,534
rp,533
country,530
worker,468
indeed,462
fund,459
job,452
system,438
come,429
give,428
public,414
doctoral,412
ask,395
child,393
study,393
receive,392
oh,385
ministry,378
expert,356
high,346
law,342
low,339
program,337
master,333
live,329
mean,325
higher,317
become,317
private,314
actually,309
graduate,303
problem,303
quality,302
official,301
rule,300
include,299
number,292
improve,286
minister,284
without,280
position,280
year,279
see,275
issue,275
yet,273
consider,269
try,266
let,265
look,262
tax,261
employee,259
non,254
enough,252
decent,252
contract,252
class,251
indonesian,250
especially,249
start,247
continue,246
raise,246
service,245
cost,243
accord,242
finance,241
national,239
thousand,238
around,232
etc,231
long,231
support,230
new,229
apply,227
day,223
read,221
staff,219
policy,218
base,216
admin,215
health,214
assistant,213
data,213
tuition,211
every,210
scholarship,209
performance,208
check,206
cannot,205
demand,205
thing,205
meet,202
ukt,201
project,201
better,201
find,200
friend,199
president,199
trillion,198
certification,198
take,197
journal,196
regulation,195
social,195
side,194
whose,192
provide,191
wait,190
okay,190
often,189
result,189
make,188
free,187
home,187
yesterday,187
always,186
whether,185
since,182
big,181
far,181
get,180
sri,180
nation,179
open,179
important,177
feel,177
instead,177
understand,176
example,176
family,173
semester,173
letter,171
member,171
regard,171
test,170
least,170
assignment,170
bachelor,169
later,169
different,169
build,168
life,168
end,168
care,167
professional,167
company,167
think,166
umr,166
idr,166
tell,165
condition,164
full,164
want,164
reach,163
focus,163
wow,163
call,162
earn,162
never,160
fee,159
please,159
mr,159
back,158
world,158
next,158
profession,158
standard,158
house,157
compare,157
struggle,156
turn,155
career,155
part,155
talk,153
cut,153
burden,153
thank,153
experience,152
case,152
facility,150
name,149
difficult,149
level,149
prabowo,148
learn,147
rupiah,147
average,147
able,147
credit,147
grant,146
head,145
mulyani,145
technology,143
regional,142
doctor,142
fact,142
course,142
seem,142
additional,141
interest,141
expensive,140
change,140
alone,139
value,139
usually,139
statement,139
buy,138
leave,138
paper,138
maybe,137
point,137
lot,136
educational,136
human,136
go,134
community,134
cpns,134
constitutional,134
young,133
field,133
benefit,131
requirement,131
jakarta,131
help,129
main,129
development,129
permanent,128
sad,127
question,127
area,127
immediately,127
u,126
reality,126
amount,126
keep,124
force,124
pas,123
discus,123
mother,122
rector,122
fight,121
outside,121
business,121
several,121
legal,121
parent,120
lower,120
science,120
abroad,120
mention,120
cover,120
party,119
healthcare,119
duty,118
educate,118
economic,118
ugm,118
total,117
accept,117
require,115
form,115
true,114
police,114
culture,114
matter,113
carry,113
know,113
review,112
generation,112
opinion,111
resource,111
future,111
serve,110
place,110
another,110
show,110
hard,109
write,109
news,109
sector,108
workload,108
functional,108
everything,107
impact,107
researcher,107
term,107
enter,107
remain,107
office,106
article,106
god,106
concern,105
choose,105
smart,105
hear,105
judge,105
relate,105
court,105
hold,105
right,104
task,103
political,103
follow,103
general,103
international,103
information,102
spend,102
guarantee,102
medium,102
labor,102
power,102
exist,102
group,101
sell,101
poor,100
ptn,100
price,100
begin,99
past,99
hopefully,99
financial,99
senior,99
food,98
knowledge,98
happen,98
manage,98
protest,97
may,97
hour,97
various,97
someone,97
large,96
personal,96
department,96
longer,95
debt,95
priority,94
little,94
stop,94
expect,94
bad,94
father,94
person,94
real,94
hope,93
equivalent,93
say,93
publish,93
create,93
complete,92
rank,92
hand,91
run,91
order,91
sometimes,91
fix,91
less,90
local,90
agree,90
efficiency,90
administrative,90
story,89
last,89
top,89
add,89
imagine,88
submit,88
process,87
monthly,87
quite,87
truly,87
publication,86
claim,86
possible,86
hundred,86
eat,85
bank,85
prosperous,85
city,85
union,85
promise,85
today,84
uu,84
presidential,84
certain,84
corruption,83
reason,83
wrong,83
ri,83
complain,83
limit,83
almost,83
malaysia,83
lpdp,82
reduce,82
allow,82
clear,81
clearly,81
solution,81
directly,80
figure,80
skilled,80
management,80
apbn,80
account,80
online,80
currently,80
component,80
competition,80
definitely,79
era,79
realize,79
foundation,79
state,79
market,78
hello,78
military,78
one,77
kompas,77
lecture,76
bring,76
incentive,76
great,76
source,76
affect,76
attention,75
rather,75
lose,75
reveal,75
thesis,75
plan,74
commission,74
infrastructure,74
offer,74
everyone,74
meal,74
finally,74
besides,73
remember,73
region,73
access,73
schedule,73
others,73
ensure,73
unair,73
lack,72
difference,72
report,72
agency,72
week,72
crazy,71
handle,71
answer,71
appreciate,70
behind,70
stay,70
might,70
material,70
responsibility,70
yeah,70
move,69
special,69
expense,69
do,69
set,68
discussion,68
register,68
driver,68
society,68
economy,67
loan,67
together,67
rise,67
middle,67
three,67
pt,66
kind,66
late,66
brother,66
grade,66
session,66
capital,66
emphasize,66
proposal,66
target,66
strengthen,65
among,65
opportunity,65
investment,65
return,65
lawsuit,65
cause,65
bandung,65
speak,64
believe,64
plus,64
post,64
ten,64
representative,64
join,64
car,63
sure,63
age,63
sorry,63
train,63
produce,63
best,63
addition,63
share,63
due,63
calculate,62
meanwhile,62
book,62
depend,62
situation,62
request,62
sense,61
will,61
strong,61
itb,61
borrow,61
wonder,61
damn,61
daily,61
nothing,61
diploma,61
progress,61
challenge,61
k,60
fate,60
fair,60
effort,60
industry,60
pursue,60
allocate,59
m,59
center,59
old,59
close,59
ui,59
send,59
explain,59
appoint,58
anyway,58
allocation,58
face,58
defend,58
risk,58
convey,58
curriculum,58
payment,58
tni,58
involve,58
deputy,58
wife,58
team,57
rest,57
sign,57
ma,57
fill,57
list,57
survive,57
foreign,57
easy,57
billion,57
mom,56
stick,56
husband,56
watch,56
improvement,56
highlight,56
determine,56
alhamdulillah,56
step,56
analyst,56
apc,55
proof,55
save,55
surprise,55
highest,55
current,55
attend,55
candidate,55
toefl,54
energy,54
skill,54
voice,54
action,54
prioritize,54
period,53
lol,53
stupid,53
major,53
protection,53
serdos,53
participate,53
hah,53
video,53
organization,53
range,53
develop,53
congratulation,53
prepare,53
resign,53
participation,53
cheap,52
corrupt,52
guy,52
finish,52
administration,52
afford,52
affair,52
security,52
six,52
guidance,52
golden,52
properly,51
advance,51
practice,51
present,51
happy,51
forget,51
sppg,51
decision,51
survey,51
civil,51
assistance,51
file,51
reject,51
vacancy,51
correct,51
busy,50
own,50
second,50
healthy,50
apparatus,50
structural,50
ago,50
activity,50
citizen,50
speech,50
word,49
leader,49
encourage,49
minimal,49
record,49
motorcycle,49
angry,49
surabaya,49
bro,49
religious,49
ready,49
digit,48
achieve,48
applicant,48
role,48
engineer,48
subsidy,48
narrative,47
felt,47
independent,47
d,47
politics,47
slip,47
obligation,47
justice,47
regime,47
link,47
central,47
phd,47
early,47
suddenly,47
huh,47
kip,47
doang,46
strange,46
remove,46
content,46
exam,46
mind,46
demonstration,46
java,46
quickly,46
bill,45
superior,45
room,45
mine,45
officer,45
registration,45
bigger,45
colleague,45
compete,45
seek,45
spk,45
lunch,45
haha,45
dea,45
cenuk,45
front,44
x,44
distribute,44
nutritious,44
towards,44
contact,44
regular,44
lead,44
muhammadiyah,44
act,43
waste,43
honestly,43
kipk,43
former,43
detail,43
grateful,43
bear,43
criticize,43
simple,43
increasingly,43
environment,43
neighbor,43
ability,43
note,43
however,43
moment,43
bos,42
proper,42
certificate,42
path,42
monday,42
whereas,42
confuse,42
obtain,42
tpa,42
fully,42
count,42
seriously,42
transfer,42
manager,42
republic,42
defense,42
along,42
lowest,41
reform,41
commissioner,41
supervisor,41
communication,41
away,41
comment,41
asset,41
trial,41
distribution,41
structure,41
final,41
love,40
chairman,40
nadiem,40
bite,40
equal,40
rely,40
direct,40
initial,40
variable,40
rice,40
bi,40
completely,40
admit,40
parliament,40
therefore,40
elite,40
author,40
treat,40
disburse,39
monitor,39
authority,39
protect,39
potential,39
marry,39
unit,39
criticism,39
lie,39
idea,39
road,38
complicate,38
association,38
history,38
graduation,38
reflect,38
self,38
beginner,38
night,38
announcement,38
replace,38
growth,38
blu,38
reagent,38
institute,38
funny,38
throughout,38
remind,38
previous,38
across,38
friday,38
damage,37
enjoy,37
remote,37
factory,37
ai,37
fail,37
heavy,37
principle,37
regulate,37
testimony,37
operational,37
reasonable,37
global,37
fall,37
difficulty,37
break,37
fulfil,37
space,37
inadequate,37
view,37
serious,36
animal,36
respect,36
certainly,36
morning,36
third,36
puu,36
type,36
control,36
provision,36
accordance,36
active,36
context,36
village,36
cooperative,36
medical,36
single,36
individual,36
common,36
retire,36
employment,36
suppose,35
blind,35
brain,35
cry,35
land,35
rate,35
listen,35
deserve,35
tire,35
selection,35
victim,35
subject,35
maintain,35
chemical,35
lector,35
professionally,35
bpi,35
easily,35
automatically,35
promotion,35
innovation,35
majority,35
water,35
line,35
election,35
fine,35
conduct,35
dare,34
nutrition,34
five,34
goal,34
half,34
chat,34
fellow,34
cancel,34
junior,34
namely,34
maximum,34
pressure,34
four,34
normal,34
pocket,34
hospital,34
adequate,34
double,34
neglect,34
woman,34
ordinary,34
easier,34
revision,34
resolve,34
supervise,34
prove,33
vice,33
else,33
silent,33
title,33
scheme,33
sake,33
play,33
evidence,33
whatever,33
effect,33
comparison,33
necessarily,33
basically,33
worth,33
mandate,33
personnel,33
response,33
buzzer,33
strategic,33
miss,33
younger,33
thursday,33
paragraph,33
sibling,33
fiscal,33
enterprise,33
clean,32
anyone,32
good,32
decile,32
either,32
decade,32
digital,32
concept,32
decrease,32
mass,32
draft,32
v,32
professionalism,32
equipment,32
safe,32
latest,32
propose,32
importance,32
poverty,32
adadikompas,32
unclear,31
guard,31
certainty,31
certify,31
lala,31
collect,31
achievement,31
similar,31
spirit,31
cc,31
assess,31
intention,31
laborer,31
witness,31
taxi,31
worry,31
bh,31
annual,31
lab,31
sue,31
farmer,31
cook,31
worse,31
