tanggal,waktu,text,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,kata_Tidak_Baku_hash,normalisasi_fixed,translated_text,synonym,stopword_removal,tokenize,final_word_count
Tue Jun 09,10:01:44,"i admired my mom so much lowk… lulusan s2, pernah jd dosen, gaji 2 digit, bs kebeli mobil pertamanya diumur 20an, even house… and here i am going to be 21 tp kuliah aja mandek FUCK",i admired my mom so much lowk lulusan s2 pernah jd dosen gaji digit bs kebeli mobil pertamanya diumur 20an even house and here i am going to be tp kuliah aja mandek FUCK,i admired my mom so much lowk lulusan s2 pernah jd dosen gaji digit bs kebeli mobil pertamanya diumur 20an even house and here i am going to be tp kuliah aja mandek fuck,admired my mom sok much lowk lulusan s2 pernah jadi dosen gaji digit bisa kebeli mobil pertamanya diumur 20an even house and here sama going tapi be tapi kuliah saja mandek fuck,"['sok', 'jadi', 'bisa', 'sama', 'tapi', 'tapi', 'saja']","['so', 'jd', 'bs', 'am', 'to', 'tp', 'aja']","[-1083262680970327268, -178205850972972229, 6963838421839906672, 7209310751431769130, 507604009272716043, -6771477115786454971, 3102073081575664814]",admired my mom sok much lowk lulusan master degree pernah jadi dosen gaji digit bisa kebeli mobil pertamanya diumur 20an even house and here sama going tapi be tapi kuliah saja mandek fuck,admired my mom sok much lowk graduate of master degree was a lecturer with a digit salary was able to buy his first car when he was in his 20s even house and here are the same going but be but college just stopped fuck,admired my mom sok much lowk graduate of master degree was a lecturer with a digit salary was able to buy his first car when he was in his 20s even house and here are the same going but be but institution just stopped fuck,admired mom sok graduate master degree lecturer digit salary able buy car 20s house institution stopped fuck,"['admired', 'mom', 'sok', 'graduate', 'master', 'degree', 'lecturer', 'digit', 'salary', 'able', 'buy', 'car', '20s', 'house', 'institution', 'stopped', 'fuck']",17
Tue Jun 09,06:59:34,"@abdimuda_id gua sih berharap, guru dan dosen honorer bisa diangkat jadi PPPK tanpa test dengan syarat masa bhakti 5 tahun. Nanti bisa diangkat PNS dengan syarat masa bhakti PPPK minimal 5 tahun. cukuplah masa bhakti 10 tahun buat pembuktian layak untuk status PNS",gua sih berharap guru dan dosen honorer bisa diangkat jadi PPPK tanpa test dengan syarat masa bhakti tahun Nanti bisa diangkat PNS dengan syarat masa bhakti PPPK minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status PNS,gua sih berharap guru dan dosen honorer bisa diangkat jadi pppk tanpa test dengan syarat masa bhakti tahun nanti bisa diangkat pns dengan syarat masa bhakti pppk minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status pns,gua sih berharap guru dan dosen honorer bisa diangkat jadi pppk tanpa test dengan syarat masa bhakti tahun nanti bisa diangkat pns dengan syarat masa bhakti pppk minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status pns,[],[],[],gua sih berharap guru dan dosen honorer bisa diangkat jadi pppk tanpa test dengan syarat masa bhakti tahun nanti bisa diangkat pns dengan syarat masa bhakti pppk minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status pns,i really hope that honorary teachers and lecturers can be appointed as pppk without a test with the condition of a year service period later they can be appointed as civil servants with the requirement of a minimum pppk service period of one year a year service period is sufficient to prove that they are eligible for civil servant status,i really hope that salary lecturer and lecturer can be appointed as status without a test with the condition of a year service period later they can be appointed as status with the requirement of a minimum status service period of one year a year service period is sufficient to prove that they are eligible for status status,hope salary lecturer lecturer appointed status without test condition service period later appointed status requirement minimum status service period service period sufficient prove eligible status status,"['hope', 'salary', 'lecturer', 'lecturer', 'appointed', 'status', 'without', 'test', 'condition', 'service', 'period', 'later', 'appointed', 'status', 'requirement', 'minimum', 'status', 'service', 'period', 'service', 'period', 'sufficient', 'prove', 'eligible', 'status', 'status']",26
Tue Jun 09,06:57:12,@ardisatriawan Ga samsek. Bagus kalo anggarannya bisa dialihkan buat ngasi gaji layak buat guru dan dosen,Ga samsek Bagus kalo anggarannya bisa dialihkan buat ngasi gaji layak buat guru dan dosen,ga samsek bagus kalo anggarannya bisa dialihkan buat ngasi gaji layak buat guru dan dosen,tidak samsek bagus kalau anggarannya bisa dialihkan buat mengasih gaji layak buat guru dan dosen,"['tidak', 'kalau', 'mengasih']","['ga', 'kalo', 'ngasi']","[-6394627196483031571, -251589963927279761, -7659282828613117191]",tidak samsek bagus kalau anggarannya bisa dialihkan buat mengasih gaji layak buat guru dan dosen,it wouldn t be a good thing if the budget could be diverted to provide decent salaries for teachers and lecturers,it wouldn t be a good thing if the budget could be diverted to provide decent salary for lecturer and lecturer,thing budget diverted provide decent salary lecturer lecturer,"['thing', 'budget', 'diverted', 'provide', 'decent', 'salary', 'lecturer', 'lecturer']",8
Tue Jun 09,06:53:19,"@denni_sauya Mau tnya doang, semisal minta pndidikan gratis gtu, yg byar gaji guru"" Siapa apalagi minta smpe kuliah gratis, kira"" Dosen juga gaji gmn? Trus yg honorer gmna gajinya juga? Skrg aja ada yg gak grtis bnyak guru yg protes gaji kecil.",Mau tnya doang semisal minta pndidikan gratis gtu yg byar gaji guru Siapa apalagi minta smpe kuliah gratis kira Dosen juga gaji gmn Trus yg honorer gmna gajinya juga Skrg aja ada yg gak grtis bnyak guru yg protes gaji kecil,mau tnya doang semisal minta pndidikan gratis gtu yg byar gaji guru siapa apalagi minta smpe kuliah gratis kira dosen juga gaji gmn trus yg honorer gmna gajinya juga skrg aja ada yg gak grtis bnyak guru yg protes gaji kecil,mau tanya doang semisal meminta pndidikan gratis begitu yang byar gaji guru siapa apalagi meminta sampai kuliah gratis kira dosen juga gaji bagaimana terus yang honorer bagaimana gajinya juga sekarang saja ada yang tidak grtis banyak guru yang protes gaji kecil,"['tanya', 'meminta', 'begitu', 'yang', 'meminta', 'sampai', 'bagaimana', 'terus', 'yang', 'bagaimana', 'sekarang', 'saja', 'yang', 'tidak', 'banyak', 'yang']","['tnya', 'minta', 'gtu', 'yg', 'minta', 'smpe', 'gmn', 'trus', 'yg', 'gmna', 'skrg', 'aja', 'yg', 'gak', 'bnyak', 'yg']","[-2634272425049762147, 1365689574431062309, -2602141960013771614, 6026876920451960175, 1365689574431062309, 128457322790147082, -5717941989099496640, 4738698282654740668, 6026876920451960175, -9044225378867164223, -4901996645797093424, 3102073081575664814, 6026876920451960175, 3010220660196730482, -8702137006586095127, 6026876920451960175]",mau tanya doang semisal meminta pndidikan gratis begitu yang byar gaji guru siapa apalagi meminta sampai kuliah gratis kira dosen juga gaji bagaimana terus yang honorer bagaimana gajinya juga sekarang saja ada yang tidak grtis banyak guru yang protes gaji kecil,i just want to ask for example asking for free education who pays for teachers salaries let alone asking for free lectures what about lecturers salaries what about honorary ones what are their salaries even now there are those who are not free many teachers are protesting against low salaries,i just want to ask for example asking for free education who pays for lecturer salary let alone asking for free lectures what about lecturer salary what about salary ones what are their salary even now there are those who are not free many lecturer are protesting against low salary,ask example asking free education pays lecturer salary let alone asking free lectures lecturer salary salary ones salary free lecturer protesting low salary,"['ask', 'example', 'asking', 'free', 'education', 'pays', 'lecturer', 'salary', 'let', 'alone', 'asking', 'free', 'lectures', 'lecturer', 'salary', 'salary', 'ones', 'salary', 'free', 'lecturer', 'protesting', 'low', 'salary']",23
Tue Jun 09,05:41:06,"enak yah bikin proker tanpa ada skala prioritasnya, latar belakang yg mendukung, buang buang anggaran negara yang sebenernya bisa dialokasikan ke pendidikan dan kesehatan lol. ukt turun dan gaji layak guru dosen nakes cums mimpi basah wni wkwkwk",enak yah bikin proker tanpa ada skala prioritasnya latar belakang yg mendukung buang buang anggaran negara yang sebenernya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cums mimpi basah wni wkwkwk,enak yah bikin proker tanpa ada skala prioritasnya latar belakang yg mendukung buang buang anggaran negara yang sebenernya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cums mimpi basah wni wkwkwk,enak ya bikin proker tanpa ada skala prioritasnya latar belakang yang mendukung buang buang anggaran negara yang sebenarnya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cuma mimpi basah wni wkwkwk,"['ya', 'yang', 'sebenarnya', 'cuma']","['yah', 'yg', 'sebenernya', 'cums']","[4550510579281637016, 6026876920451960175, 1731425886808023491, -7876690778804950328]",enak ya bikin proker tanpa ada skala prioritasnya latar belakang yang mendukung buang buang anggaran negara yang sebenarnya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cuma mimpi basah wni wkwkwk,it nice to make work programs without any priority scale supporting background wasting the state budget which could actually be allocated to education and health lol to get a decent salary for teachers lecturers and health workers it just a wet dream for indonesians hahaha,it nice to make work programs without any priority scale supporting background wasting the state budget which could actually be allocated to education and health lol to get a decent salary for lecturer lecturer and health workers it just a wet dream for indonesians hahaha,nice work programs without priority scale supporting background wasting budget actually allocated education health lol decent salary lecturer lecturer health workers wet dream indonesians hahaha,"['nice', 'work', 'programs', 'without', 'priority', 'scale', 'supporting', 'background', 'wasting', 'budget', 'actually', 'allocated', 'education', 'health', 'lol', 'decent', 'salary', 'lecturer', 'lecturer', 'health', 'workers', 'wet', 'dream', 'indonesians', 'hahaha']",25
Tue Jun 09,00:07:57,"@ardisatriawan Ikut prihatin 🙏
Tapi, pas guru dan dosen bersuara soal kesejahteraan, mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya. Bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa.
Giliran disuruh ikhlas beramal kaya guru dan dosen, ngamook!!!",Ikut prihatin Tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya Bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa Giliran disuruh ikhlas beramal kaya guru dan dosen ngamook,ikut prihatin tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa giliran disuruh ikhlas beramal kaya guru dan dosen ngamook,ikut prihatin tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa giliran disuruh ikhlas beramal kayak guru dan dosen ngamook,['kayak'],['kaya'],[-4323055861079510093],ikut prihatin tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa giliran disuruh ikhlas beramal kayak guru dan dosen ngamook,i m also concerned but when teachers and lecturers speak out about welfare they belittle and demean teachers lecturers who are fighting for their rights and even make narratives that their task is more important in educating the nation children it their turn to be told to be sincere in giving charity like teachers and lecturers are ngamook,i m also concerned but when lecturer and lecturer speak out about welfare they belittle and demean lecturer lecturer who are fighting for their rights and even make narratives that their task is more important in educating the nation children it their turn to be told to be sincere in giving charity like lecturer and lecturer are ngamook,concerned lecturer lecturer speak welfare belittle demean lecturer lecturer fighting rights narratives task important educating nation children turn told sincere giving charity lecturer lecturer ngamook,"['concerned', 'lecturer', 'lecturer', 'speak', 'welfare', 'belittle', 'demean', 'lecturer', 'lecturer', 'fighting', 'rights', 'narratives', 'task', 'important', 'educating', 'nation', 'children', 'turn', 'told', 'sincere', 'giving', 'charity', 'lecturer', 'lecturer', 'ngamook']",25
Mon Jun 08,18:06:50,"All the while, kesejahteraan pengajarnya sendiri gak naik sebanding dengan kenaikan biaya.

Make it make sense, masa banyak dosen yang sampe nyari uang lebih dari ngambil proyek karena ngerasa gaji pokoknya belum ‘cukup’?",All the while kesejahteraan pengajarnya sendiri gak naik sebanding dengan kenaikan biaya Make it make sense masa banyak dosen yang sampe nyari uang lebih dari ngambil proyek karena ngerasa gaji pokoknya belum cukup,all the while kesejahteraan pengajarnya sendiri gak naik sebanding dengan kenaikan biaya make it make sense masa banyak dosen yang sampe nyari uang lebih dari ngambil proyek karena ngerasa gaji pokoknya belum cukup,all the while kesejahteraan pengajarnya sendiri tidak naik sebanding dengan kenaikan biaya memakai itu memakai sense masa banyak dosen yang sampai mencari uang lebih dari ngambil proyek karena merasa gaji pokoknya belum cukup,"['tidak', 'memakai', 'itu', 'memakai', 'sampai', 'mencari', 'merasa']","['gak', 'make', 'it', 'make', 'sampe', 'nyari', 'ngerasa']","[3010220660196730482, 4487155744977093950, 2471305177291198599, 4487155744977093950, -9161811444575076394, 8496757772072600149, -4977720266764994796]",all the while kesejahteraan pengajarnya sendiri tidak naik sebanding dengan kenaikan biaya memakai itu memakai sense masa banyak dosen yang sampai mencari uang lebih dari ngambil proyek karena merasa gaji pokoknya belum cukup,all the while the welfare of the teachers themselves does not increase in proportion to the increase in costs using this it is common sense that many lecturers are looking for extra money from taking on projects because they feel that their basic salary is not enough,all the while the welfare of the lecturer themselves does not increase in proportion to the increase in costs using this it is common sense that many lecturer are looking for extra money from taking on projects because they feel that their basic salary is not enough,welfare lecturer increase proportion increase costs using common sense lecturer looking extra money taking projects feel basic salary enough,"['welfare', 'lecturer', 'increase', 'proportion', 'increase', 'costs', 'using', 'common', 'sense', 'lecturer', 'looking', 'extra', 'money', 'taking', 'projects', 'feel', 'basic', 'salary', 'enough']",19
Mon Jun 08,13:24:41,"@dosenkesmas Gaji dosen tipis yaa, makanya do everything buat engagement??",Gaji dosen tipis yaa makanya do everything buat engagement,gaji dosen tipis yaa makanya do everything buat engagement,gaji dosen tipis ya makanya di everything buat engagement,"['ya', 'di']","['yaa', 'do']","[6413273920117476849, 6937159189917462452]",gaji dosen tipis ya makanya di everything buat engagement,lecturer salaries are low that why everything is for engagement,lecturer salary are low that why everything is for engagement,lecturer salary low everything engagement,"['lecturer', 'salary', 'low', 'everything', 'engagement']",5
Mon Jun 08,10:04:12,@nananinuuu17 Dosen gaji buta,Dosen gaji buta,dosen gaji buta,dosen gaji buta,[],[],[],dosen gaji buta,blind salary lecturers,blind salary lecturer,blind salary lecturer,"['blind', 'salary', 'lecturer']",3
Mon Jun 08,09:56:27,"Bukan sekarang gaji dosen murah, mbak. Sini saya benerin redaksinya.

'UKT mahal, tapi gaji dosen tetap (murah)'. Sad.

Tidak berbanding lurus ya ternyata dengan kenaikan eksponensial UKT~",Bukan sekarang gaji dosen murah mbak Sini saya benerin redaksinya UKT mahal tapi gaji dosen tetap murah Sad Tidak berbanding lurus ya ternyata dengan kenaikan eksponensial UKT,bukan sekarang gaji dosen murah mbak sini saya benerin redaksinya ukt mahal tapi gaji dosen tetap murah sad tidak berbanding lurus ya ternyata dengan kenaikan eksponensial ukt,bukan sekarang gaji dosen murah sini saya benerin redaksinya ukt mahal tapi gaji dosen tetap murah sad tidak berbanding lurus ya ternyata dengan kenaikan eksponensial ukt,[],[],[],bukan sekarang gaji dosen murah sini saya benerin redaksinya ukt mahal tapi gaji dosen tetap murah sad tidak berbanding lurus ya ternyata dengan kenaikan eksponensial ukt,not now lecturers salaries are cheap here i correct the editorial that ukt is expensive but lecturers salaries are still cheap sadly it not directly proportional yes apparently with an exponential increase in ukt,not now lecturer salary are cheap here i correct the editorial that ukt is expensive but lecturer salary are still cheap sadly it not directly proportional yes apparently with an exponential increase in ukt,lecturer salary cheap correct editorial ukt expensive lecturer salary cheap sadly directly proportional apparently exponential increase ukt,"['lecturer', 'salary', 'cheap', 'correct', 'editorial', 'ukt', 'expensive', 'lecturer', 'salary', 'cheap', 'sadly', 'directly', 'proportional', 'apparently', 'exponential', 'increase', 'ukt']",17
