tanggal,waktu,text,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,kata_Tidak_Baku_hash,normalisasi_fixed,translated_text,synonym,stopword_removal,lemmatized_text,tokenize
Tue Jun 09,10:01:44,"i admired my mom so much lowk… lulusan s2, pernah jd dosen, gaji 2 digit, bs kebeli mobil pertamanya diumur 20an, even house… and here i am going to be 21 tp kuliah aja mandek FUCK",i admired my mom so much lowk lulusan s2 pernah jd dosen gaji digit bs kebeli mobil pertamanya diumur 20an even house and here i am going to be tp kuliah aja mandek FUCK,i admired my mom so much lowk lulusan s2 pernah jd dosen gaji digit bs kebeli mobil pertamanya diumur 20an even house and here i am going to be tp kuliah aja mandek fuck,admired my mom sok much lowk lulusan s2 pernah jadi dosen gaji digit bisa kebeli mobil pertamanya diumur 20an even house and here sama going tapi be tapi kuliah saja mandek fuck,"['sok', 'jadi', 'bisa', 'sama', 'tapi', 'tapi', 'saja']","['so', 'jd', 'bs', 'am', 'to', 'tp', 'aja']","[-7815644766666730671, 8401788726811304353, 778050567808022399, 6326236087288516275, -1832204587526227195, 1227257789550043324, -5214622237750482465]",admired my mom sok much lowk lulusan master degree pernah jadi dosen gaji digit bisa kebeli mobil pertamanya diumur 20an even house and here sama going tapi be tapi kuliah saja mandek fuck,admired my mom sok much lowk graduate of master degree was once a digit salary lecturer can buy his first car in his 20s even house and here is the same going but be but college just stagnates fuck,admired my mom sok much lowk graduate of master degree was once a digit salary lecturer can buy his first car in his 20s even house and here is the same going but be but institution just stagnates fuck,admired mom sok graduate master degree digit salary lecturer buy car 20s house institution stagnates fuck,admire mom sok graduate master degree digit salary lecturer buy car 20 house institution stagnate fuck,"['admire', 'mom', 'sok', 'graduate', 'master', 'degree', 'digit', 'salary', 'lecturer', 'buy', 'car', '20', 'house', 'institution', 'stagnate', 'fuck']"
Tue Jun 09,06:59:34,"@abdimuda_id gua sih berharap, guru dan dosen honorer bisa diangkat jadi PPPK tanpa test dengan syarat masa bhakti 5 tahun. Nanti bisa diangkat PNS dengan syarat masa bhakti PPPK minimal 5 tahun. cukuplah masa bhakti 10 tahun buat pembuktian layak untuk status PNS",gua sih berharap guru dan dosen honorer bisa diangkat jadi PPPK tanpa test dengan syarat masa bhakti tahun Nanti bisa diangkat PNS dengan syarat masa bhakti PPPK minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status PNS,gua sih berharap guru dan dosen honorer bisa diangkat jadi pppk tanpa test dengan syarat masa bhakti tahun nanti bisa diangkat pns dengan syarat masa bhakti pppk minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status pns,gua sih berharap guru dan dosen honorer bisa diangkat jadi pppk tanpa test dengan syarat masa bhakti tahun nanti bisa diangkat pns dengan syarat masa bhakti pppk minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status pns,[],[],[],gua sih berharap guru dan dosen honorer bisa diangkat jadi pppk tanpa test dengan syarat masa bhakti tahun nanti bisa diangkat pns dengan syarat masa bhakti pppk minimal tahun cukuplah masa bhakti tahun buat pembuktian layak untuk status pns,i hope that teachers and honorary lecturers can be appointed as pppk without a test on the condition that the service period of the year can be appointed as pns on the condition that the service period of the pppk is at least a year enough for the service period of the year to prove eligibility for the status of pns,i hope that lecturer and salary lecturer can be appointed as status without a test on the condition that the service period of the year can be appointed as status on the condition that the service period of the status is at least a year enough for the service period of the year to prove eligibility for the status of status,hope lecturer salary lecturer appointed status without test condition service period appointed status condition service period status least enough service period prove eligibility status status,hope lecturer salary lecturer appoint status without test condition service period appoint status condition service period status least enough service period prove eligibility status status,"['hope', 'lecturer', 'salary', 'lecturer', 'appoint', 'status', 'without', 'test', 'condition', 'service', 'period', 'appoint', 'status', 'condition', 'service', 'period', 'status', 'least', 'enough', 'service', 'period', 'prove', 'eligibility', 'status', 'status']"
Tue Jun 09,06:57:12,@ardisatriawan Ga samsek. Bagus kalo anggarannya bisa dialihkan buat ngasi gaji layak buat guru dan dosen,Ga samsek Bagus kalo anggarannya bisa dialihkan buat ngasi gaji layak buat guru dan dosen,ga samsek bagus kalo anggarannya bisa dialihkan buat ngasi gaji layak buat guru dan dosen,tidak samsek bagus kalau anggarannya bisa dialihkan buat mengasih gaji layak buat guru dan dosen,"['tidak', 'kalau', 'mengasih']","['ga', 'kalo', 'ngasi']","[-1647583646953850176, -5384489139719775461, -5053561253201423706]",tidak samsek bagus kalau anggarannya bisa dialihkan buat mengasih gaji layak buat guru dan dosen,not good samsek if the budget can be diverted to give decent salaries for teachers and lecturers,not good samsek if the budget can be diverted to give decent salary for lecturer and lecturer,not samsek budget diverted give decent salary lecturer lecturer,not samsek budget divert give decent salary lecturer lecturer,"['not', 'samsek', 'budget', 'divert', 'give', 'decent', 'salary', 'lecturer', 'lecturer']"
Tue Jun 09,06:53:19,"@denni_sauya Mau tnya doang, semisal minta pndidikan gratis gtu, yg byar gaji guru"" Siapa apalagi minta smpe kuliah gratis, kira"" Dosen juga gaji gmn? Trus yg honorer gmna gajinya juga? Skrg aja ada yg gak grtis bnyak guru yg protes gaji kecil.",Mau tnya doang semisal minta pndidikan gratis gtu yg byar gaji guru Siapa apalagi minta smpe kuliah gratis kira Dosen juga gaji gmn Trus yg honorer gmna gajinya juga Skrg aja ada yg gak grtis bnyak guru yg protes gaji kecil,mau tnya doang semisal minta pndidikan gratis gtu yg byar gaji guru siapa apalagi minta smpe kuliah gratis kira dosen juga gaji gmn trus yg honorer gmna gajinya juga skrg aja ada yg gak grtis bnyak guru yg protes gaji kecil,mau tanya doang semisal meminta pndidikan gratis begitu yang byar gaji guru siapa apalagi meminta sampai kuliah gratis kira dosen juga gaji bagaimana terus yang honorer bagaimana gajinya juga sekarang saja ada yang tidak grtis banyak guru yang protes gaji kecil,"['tanya', 'meminta', 'begitu', 'yang', 'meminta', 'sampai', 'bagaimana', 'terus', 'yang', 'bagaimana', 'sekarang', 'saja', 'yang', 'tidak', 'banyak', 'yang']","['tnya', 'minta', 'gtu', 'yg', 'minta', 'smpe', 'gmn', 'trus', 'yg', 'gmna', 'skrg', 'aja', 'yg', 'gak', 'bnyak', 'yg']","[-3963861161784163038, -8169930474704432348, 7621654270740550740, 2667696029615725929, -8169930474704432348, 9133314292562677652, -4160102738308181597, 6909332147943662048, 2667696029615725929, -5806833094991303480, -2919862624815316833, -5214622237750482465, 2667696029615725929, 5298133465934452413, 5777000447025067890, 2667696029615725929]",mau tanya doang semisal meminta pndidikan gratis begitu yang byar gaji guru siapa apalagi meminta sampai kuliah gratis kira dosen juga gaji bagaimana terus yang honorer bagaimana gajinya juga sekarang saja ada yang tidak grtis banyak guru yang protes gaji kecil,want to ask doang such as asking for free education so what is the teacher salary let alone asking for a free lecture suppose the lecturer also has a salary how to continue the honorary one how the salary is also now there are not enough teachers who protest the small salary,want to ask doang such as asking for free education so what is the lecturer salary let alone asking for a free lecture suppose the lecturer also has a salary how to continue the salary one how the salary is also now there are not enough lecturer who protest the small salary,ask doang asking free education lecturer salary let alone asking free lecture suppose lecturer salary continue salary salary not enough lecturer protest salary,ask doang ask free education lecturer salary let alone ask free lecture suppose lecturer salary continue salary salary not enough lecturer protest salary,"['ask', 'doang', 'ask', 'free', 'education', 'lecturer', 'salary', 'let', 'alone', 'ask', 'free', 'lecture', 'suppose', 'lecturer', 'salary', 'continue', 'salary', 'salary', 'not', 'enough', 'lecturer', 'protest', 'salary']"
Tue Jun 09,05:41:06,"enak yah bikin proker tanpa ada skala prioritasnya, latar belakang yg mendukung, buang buang anggaran negara yang sebenernya bisa dialokasikan ke pendidikan dan kesehatan lol. ukt turun dan gaji layak guru dosen nakes cums mimpi basah wni wkwkwk",enak yah bikin proker tanpa ada skala prioritasnya latar belakang yg mendukung buang buang anggaran negara yang sebenernya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cums mimpi basah wni wkwkwk,enak yah bikin proker tanpa ada skala prioritasnya latar belakang yg mendukung buang buang anggaran negara yang sebenernya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cums mimpi basah wni wkwkwk,enak ya bikin proker tanpa ada skala prioritasnya latar belakang yang mendukung buang buang anggaran negara yang sebenarnya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cuma mimpi basah wni wkwkwk,"['ya', 'yang', 'sebenarnya', 'cuma']","['yah', 'yg', 'sebenernya', 'cums']","[-1263031972266864330, 2667696029615725929, -6579173474690486277, -917650736688884863]",enak ya bikin proker tanpa ada skala prioritasnya latar belakang yang mendukung buang buang anggaran negara yang sebenarnya bisa dialokasikan ke pendidikan dan kesehatan lol ukt turun dan gaji layak guru dosen nakes cuma mimpi basah wni wkwkwk,good make a proker without any priority scale the background that supports the disposal of the state budget that can actually be allocated to education and health lol ukt down and a decent salary for a health care lecturer teacher is just a wet dream wni wkwkwk,good make a proker without any priority scale the background that supports the disposal of the state budget that can actually be allocated to education and health lol ukt down and a decent salary for a health care lecturer lecturer is just a wet dream wni wkwkwk,proker without priority scale background supports disposal budget actually allocated education health lol ukt decent salary health care lecturer lecturer wet dream wni wkwkwk,proker without priority scale background support disposal budget actually allocate education health lol ukt decent salary health care lecturer lecturer wet dream wni wkwkwk,"['proker', 'without', 'priority', 'scale', 'background', 'support', 'disposal', 'budget', 'actually', 'allocate', 'education', 'health', 'lol', 'ukt', 'decent', 'salary', 'health', 'care', 'lecturer', 'lecturer', 'wet', 'dream', 'wni', 'wkwkwk']"
Tue Jun 09,00:07:57,"@ardisatriawan Ikut prihatin 🙏
Tapi, pas guru dan dosen bersuara soal kesejahteraan, mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya. Bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa.
Giliran disuruh ikhlas beramal kaya guru dan dosen, ngamook!!!",Ikut prihatin Tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya Bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa Giliran disuruh ikhlas beramal kaya guru dan dosen ngamook,ikut prihatin tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa giliran disuruh ikhlas beramal kaya guru dan dosen ngamook,ikut prihatin tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa giliran disuruh ikhlas beramal kayak guru dan dosen ngamook,['kayak'],['kaya'],[-1372791793016808979],ikut prihatin tapi pas guru dan dosen bersuara soal kesejahteraan mereka meremehkan dan merendahkan guru dosen yang perjuangkan haknya bahkan bikin narasi tugas mereka lebih utama dalam mencerdaskan anak bangsa giliran disuruh ikhlas beramal kayak guru dan dosen ngamook,concerned but when teachers and lecturers speak out about their welfare they underestimate and demean lecturer teachers who fight for their rights and even make the narrative of their duties more important in educating the nation children they are told to be sincere in giving like teachers and lecturers ngamook,concerned but when lecturer and lecturer speak out about their welfare they underestimate and demean lecturer lecturer who fight for their rights and even make the narrative of their duties more important in educating the nation children they are told to be sincere in giving like lecturer and lecturer ngamook,concerned lecturer lecturer speak welfare underestimate demean lecturer lecturer fight rights narrative duties important educating nation children told sincere giving lecturer lecturer ngamook,concern lecturer lecturer speak welfare underestimate demean lecturer lecturer fight right narrative duty important educate nation child tell sincere give lecturer lecturer ngamook,"['concern', 'lecturer', 'lecturer', 'speak', 'welfare', 'underestimate', 'demean', 'lecturer', 'lecturer', 'fight', 'right', 'narrative', 'duty', 'important', 'educate', 'nation', 'child', 'tell', 'sincere', 'give', 'lecturer', 'lecturer', 'ngamook']"
Mon Jun 08,18:06:50,"All the while, kesejahteraan pengajarnya sendiri gak naik sebanding dengan kenaikan biaya.

Make it make sense, masa banyak dosen yang sampe nyari uang lebih dari ngambil proyek karena ngerasa gaji pokoknya belum ‘cukup’?",All the while kesejahteraan pengajarnya sendiri gak naik sebanding dengan kenaikan biaya Make it make sense masa banyak dosen yang sampe nyari uang lebih dari ngambil proyek karena ngerasa gaji pokoknya belum cukup,all the while kesejahteraan pengajarnya sendiri gak naik sebanding dengan kenaikan biaya make it make sense masa banyak dosen yang sampe nyari uang lebih dari ngambil proyek karena ngerasa gaji pokoknya belum cukup,all the while kesejahteraan pengajarnya sendiri tidak naik sebanding dengan kenaikan biaya memakai itu memakai sense masa banyak dosen yang sampai mencari uang lebih dari ngambil proyek karena merasa gaji pokoknya belum cukup,"['tidak', 'memakai', 'itu', 'memakai', 'sampai', 'mencari', 'merasa']","['gak', 'make', 'it', 'make', 'sampe', 'nyari', 'ngerasa']","[5298133465934452413, -7704890107551544560, -263648512273748802, -7704890107551544560, -1504386927938970146, 6910747367857279688, -6785619514565679996]",all the while kesejahteraan pengajarnya sendiri tidak naik sebanding dengan kenaikan biaya memakai itu memakai sense masa banyak dosen yang sampai mencari uang lebih dari ngambil proyek karena merasa gaji pokoknya belum cukup,all the while the welfare of the teacher himself does not increase in proportion to the increase in the cost of using it using the sense of the time of many lecturers who are looking for more money than taking projects because they feel that the basic salary is not enough,all the while the welfare of the lecturer himself does not increase in proportion to the increase in the cost of using it using the sense of the time of many lecturer who are looking for more money than taking projects because they feel that the basic salary is not enough,welfare lecturer not increase proportion increase cost using using sense time lecturer looking money taking projects feel basic salary not enough,welfare lecturer not increase proportion increase cost use use sense time lecturer look money take project feel basic salary not enough,"['welfare', 'lecturer', 'not', 'increase', 'proportion', 'increase', 'cost', 'use', 'use', 'sense', 'time', 'lecturer', 'look', 'money', 'take', 'project', 'feel', 'basic', 'salary', 'not', 'enough']"
Mon Jun 08,13:24:41,"@dosenkesmas Gaji dosen tipis yaa, makanya do everything buat engagement??",Gaji dosen tipis yaa makanya do everything buat engagement,gaji dosen tipis yaa makanya do everything buat engagement,gaji dosen tipis ya makanya di everything buat engagement,"['ya', 'di']","['yaa', 'do']","[-2732496312879460826, -2817757262411024213]",gaji dosen tipis ya makanya di everything buat engagement,the salary of lecturers is thin that why in everything for engagement,the salary of lecturer is thin that why in everything for engagement,salary lecturer thin everything engagement,salary lecturer thin everything engagement,"['salary', 'lecturer', 'thin', 'everything', 'engagement']"
Mon Jun 08,10:04:12,@nananinuuu17 Dosen gaji buta,Dosen gaji buta,dosen gaji buta,dosen gaji buta,[],[],[],dosen gaji buta,blind salary lecturer,blind salary lecturer,blind salary lecturer,blind salary lecturer,"['blind', 'salary', 'lecturer']"
Mon Jun 08,09:56:27,"Bukan sekarang gaji dosen murah, mbak. Sini saya benerin redaksinya.

'UKT mahal, tapi gaji dosen tetap (murah)'. Sad.

Tidak berbanding lurus ya ternyata dengan kenaikan eksponensial UKT~",Bukan sekarang gaji dosen murah mbak Sini saya benerin redaksinya UKT mahal tapi gaji dosen tetap murah Sad Tidak berbanding lurus ya ternyata dengan kenaikan eksponensial UKT,bukan sekarang gaji dosen murah mbak sini saya benerin redaksinya ukt mahal tapi gaji dosen tetap murah sad tidak berbanding lurus ya ternyata dengan kenaikan eksponensial ukt,bukan sekarang gaji dosen murah sini saya benerin redaksinya ukt mahal tapi gaji dosen tetap murah sad tidak berbanding lurus ya ternyata dengan kenaikan eksponensial ukt,[],[],[],bukan sekarang gaji dosen murah sini saya benerin redaksinya ukt mahal tapi gaji dosen tetap murah sad tidak berbanding lurus ya ternyata dengan kenaikan eksponensial ukt,not now the salary of a cheap lecturer here i m sure the editor is ukt expensive but the salary of a lecturer is still cheap sad is not directly proportional it turns out with the exponential increase of ukt,not now the salary of a cheap lecturer here i m sure the editor is ukt expensive but the salary of a lecturer is still cheap sad is not directly proportional it turns out with the exponential increase of ukt,not salary cheap lecturer sure editor ukt expensive salary lecturer cheap sad not directly proportional turns exponential increase ukt,not salary cheap lecturer sure editor ukt expensive salary lecturer cheap sad not directly proportional turn exponential increase ukt,"['not', 'salary', 'cheap', 'lecturer', 'sure', 'editor', 'ukt', 'expensive', 'salary', 'lecturer', 'cheap', 'sad', 'not', 'directly', 'proportional', 'turn', 'exponential', 'increase', 'ukt']"
